shop_key,trade_name,business_legal_name,naics_code,naics_description,license_start_date,license_start_year,street_address,city,state,zip5,business_id,city_account_number,match_boba_keyword,match_brand_keyword,match_taxonomy_keyword,source_dataset
BID|PR0088718,SHARETEA BOTHELL,SHARETEA BOTHELL,,SHARETEA BOTHELL,2025-03-11,2025.0,18931 BOTHELL WAY NE,BOTHELL,WA,98011,PR0088718,,False,True,True,king_county_inspections
BID|PR0087843,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,,BOBAE COFFEE & TEA,2024-04-16,2024.0,240 NW GILMAN BL STE 5,ISSAQUAH,WA,98027,PR0087843,,False,True,True,king_county_inspections
BID|PR0049678,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2024-09-20,2024.0,1171 NW SAMMAMISH RD ,ISSAQUAH,WA,98027,PR0049678,,False,True,True,king_county_inspections
BID|PR0090952,Timeless Tea Dessert Cafe,Timeless Tea Dessert Cafe,,Timeless Tea Dessert Cafe,2023-04-26,2023.0,1580 NW GILMAN BL UNIT D5,ISSAQUAH,WA,98027,PR0090952,,False,False,True,king_county_inspections
BID|PR0091672,MAURITIUS BROWN BUBBLE TEA,MAURITIUS BROWN BUBBLE TEA,,,2020-01-01,2020.0,18151 68TH AVE NE STE 101,KENMORE,WA,98028,PR0091672,,True,True,True,manual_additions
BID|PR0086164,BOBALUST,BOBALUST,,BOBALUST,2019-12-11,2019.0,12950 SE KENT KANGLEY RD,KENT,WA,98030,PR0086164,,False,False,True,king_county_inspections
BID|PR0088750,DING TEA,DING TEA,,DING TEA,2019-12-17,2019.0,321 RAMSAY WAY STE #102,KENT,WA,98032,PR0088750,,False,True,True,king_county_inspections
BID|PR0091742,DRIP TEA,DRIP TEA,,DRIP TEA,2024-08-12,2024.0,1313 W MEEKER ST STE 221,KENT,WA,98032,PR0091742,,False,False,True,king_county_inspections
BID|PR0070169,I-TEA,I-TEA,,I-TEA,2016-08-09,2016.0,18230 E VALLEY HWY #176,KENT,WA,98032,PR0070169,,False,True,False,king_county_inspections
BID|PR0089691,MISS BOBA,MISS BOBA,,MISS BOBA,2021-09-02,2021.0,302 WASHINGTON AVE S,KENT,WA,98032,PR0089691,,True,False,True,king_county_inspections
BID|PR0072295,BOBALUST,BOBALUST,,BOBALUST,2021-08-06,2021.0,6617 132ND AVE NE,KIRKLAND,WA,98033,PR0072295,,False,False,True,king_county_inspections
BID|PR0090145,Bobae Coffee & Tea,Bobae Coffee & Tea,,Bobae Coffee & Tea,2022-03-10,2022.0,168 LAKE ST S,KIRKLAND,WA,98033,PR0090145,,False,True,True,king_county_inspections
BID|PR0088862,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2024-09-12,2024.0,320 4TH ST,KIRKLAND,WA,98033,PR0088862,,False,True,True,king_county_inspections
BID|PR0088632,TRA TEA & JUICE BAR,TRA TEA & JUICE BAR,,TRA TEA & JUICE BAR,2021-07-29,2021.0,211 PARK LN,KIRKLAND,WA,98033,PR0088632,,False,False,True,king_county_inspections
BID|PR0091619,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,,,2020-01-01,2020.0,9712 NE 119TH WAY,KIRKLAND,WA,98034,PR0091619,,True,True,True,manual_additions
BID|PR0071069,DIY TEA LAB,DIY TEA LAB,,DIY TEA LAB,2024-12-02,2024.0,12561 116TH AVE NE ,KIRKLAND,WA,98034,PR0071069,,False,False,True,king_county_inspections
BID|PR0089620,DONT YELL AT ME,DONT YELL AT ME,,,2020-01-01,2020.0,12655 120TH AVE NE SUITE 190,KIRKLAND,WA,98034,PR0089620,,True,True,True,manual_additions
BID|PR0090258,POCHI BUBBLE TEA CAFE,POCHI BUBBLE TEA CAFE,,POCHI BUBBLE TEA CAFE,2022-05-03,2022.0,11803 98TH AVE NE,KIRKLAND,WA,98034,PR0090258,,True,False,True,king_county_inspections
BID|PR0018797,HUB BOBA LLC,HUB BOBA LLC,,HUB BOBA LLC,2023-09-01,2023.0,2900 78TH AVE SE,MERCER ISLAND,WA,98040,PR0018797,,True,False,False,king_county_inspections
BID|PR0092388,Teazzi Tea Shop,Teazzi Tea Shop,,Teazzi Tea Shop,2025-05-12,2025.0,7803 SE 27th ST Ste 176,MERCER ISLAND,WA,98040,PR0092388,,False,True,True,king_county_inspections
BID|PR0088284,"DING TEA, COVINGTON","DING TEA, COVINGTON",,"DING TEA, COVINGTON",2021-01-25,2021.0,17327 SE 270TH PL #101,COVINGTON,WA,98042,PR0088284,,False,True,True,king_county_inspections
BID|PR0090928,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2024-11-07,2024.0,17307 SE 272ND ST STE 118,COVINGTON,WA,98042,PR0090928,,False,True,True,king_county_inspections
BID|PR0090389,SHARETEA,SHARETEA,,SHARETEA,2023-12-07,2023.0,17039 SE 272nd ST Unit #118,COVINGTON,WA,98042,PR0090389,,False,True,True,king_county_inspections
BID|PR0090707,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,,BOBAE COFFEE & TEA,2022-12-09,2022.0,14676 NE 95TH ST,REDMOND,WA,98052,PR0090707,,False,True,True,king_county_inspections
BID|PR0092154,BOBAE COFFEE AND TEA,BOBAE COFFEE AND TEA,,BOBAE COFFEE AND TEA,2025-01-07,2025.0,15745 NE 36TH ST,REDMOND,WA,98052,PR0092154,,False,True,True,king_county_inspections
BID|PR0054773,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON,2022-09-02,2022.0,17181 NE REDMOND WAY STE A08,REDMOND,WA,98052,PR0054773,,False,True,True,king_county_inspections
BID|PR0092910,HEYTEA,HEYTEA,,HEYTEA,,,16595 REDMOND WAY STE 165,REDMOND,WA,98052,PR0092910,,False,True,True,king_county_inspections
BID|PR0090810,MATCHA MAGIC,MATCHA MAGIC,,MATCHA MAGIC,2025-05-12,2025.0,7705 168TH AVE NE,REDMOND,WA,98052,PR0090810,,False,False,True,king_county_inspections
BID|PR0090870,SHARETEA,SHARETEA,,SHARETEA,2023-11-01,2023.0,7525 166th AVE NE Unit 16549,REDMOND,WA,98052,PR0090870,,False,True,True,king_county_inspections
BID|PR0076997,TAPIOCA EXPRESS,TAPIOCA EXPRESS,,TAPIOCA EXPRESS,2012-09-04,2012.0,15230 NE 24TH ST 1-R,REDMOND,WA,98052,PR0076997,,True,False,True,king_county_inspections
MANUAL|TEAFAIRY_TEA_HOUSE_REDMOND_98052,TEAFAIRY TEA HOUSE,TEAFAIRY TEA HOUSE,,,,,2709 152ND AVE NE,REDMOND,WA,98052,,,True,True,True,manual_additions
BID|PR0087884,YIFANG TAIWAN FRUIT TEA,YIFANG TAIWAN FRUIT TEA,,YIFANG TAIWAN FRUIT TEA,2021-12-16,2021.0,8145 161ST AVE NE,REDMOND,WA,98052,PR0087884,,True,True,True,king_county_inspections
BID|PR0090183,JUST POKE AND PURE BOBA,JUST POKE AND PURE BOBA,,JUST POKE AND PURE BOBA,2022-07-07,2022.0,17819 108TH AVE SE,RENTON,WA,98055,PR0090183,,True,False,False,king_county_inspections
BID|PR0091761,KUNG FU TEA X TKK CHICKEN,KUNG FU TEA X TKK CHICKEN,,KUNG FU TEA X TKK CHICKEN,2024-11-19,2024.0,17629 108TH AVE SE UNIT 27,RENTON,WA,98055,PR0091761,,False,True,True,king_county_inspections
BID|PR0089105,TRA TEA & JUICE BAR,TRA TEA & JUICE BAR,,TRA TEA & JUICE BAR,2021-08-06,2021.0,1133 LAKE WASHINGTON BL N #83,RENTON,WA,98056,PR0089105,,False,False,True,king_county_inspections
BID|PR0091100,FENG CHA,FENG CHA,,FENG CHA,2023-10-17,2023.0,203 S 2ND ST STE C,RENTON,WA,98057,PR0091100,,False,False,True,king_county_inspections
BID|PR0082492,OASIS TEA ZONE,OASIS TEA ZONE,,OASIS TEA ZONE,2012-10-22,2012.0,501 S GRADY WAY,RENTON,WA,98057,PR0082492,,True,False,True,king_county_inspections
BID|PR0084997,SHARE TEA,SHARE TEA,,SHARE TEA,2025-02-03,2025.0,911 N 10TH PL STE B,RENTON,WA,98057,PR0084997,,False,True,True,king_county_inspections
BID|PR0091735,32 BELOW SOFT SERVE + BUBBLE TEA,32 BELOW SOFT SERVE + BUBBLE TEA,,32 BELOW SOFT SERVE + BUBBLE TEA,2024-05-16,2024.0,17054 116TH AVE SE,RENTON,WA,98058,PR0091735,,True,False,True,king_county_inspections
BID|PR0088857,DIY TEA LAB - NEWCASTLE,DIY TEA LAB - NEWCASTLE,,,2020-01-01,2020.0,6973 COAL CREEK PKWY SE,NEWCASTLE,WA,98059,PR0088857,,True,True,True,manual_additions
BID|PR0092256,HAPPY LEMON,HAPPY LEMON,,HAPPY LEMON RENTON,2025-02-27,2025.0,4250 NE 4th ST STE E,RENTON,WA,98059,PR0092256,,False,True,True,king_county_inspections
BID|PR0020889,BOBAE USA DBA BOBAE COFFEE & TEA,BOBAE USA DBA BOBAE COFFEE & TEA,,BOBAE USA DBA BOBAE COFFEE & TEA,2019-10-15,2019.0,14015 NE WOODINVILLE DUVAL RD,WOODINVILLE,WA,98072,PR0020889,,False,True,True,king_county_inspections
BID|PR0013093,WOODINVILLE BAGEL BOBA,WOODINVILLE BAGEL BOBA,,WOODINVILLE BAGEL BOBA,2024-05-15,2024.0,14126 NE WOODINVILLE/ DUVALL RD STE D-21,WOODINVILLE,WA,98072,PR0013093,,True,False,False,king_county_inspections
BID|PR0090206,Tea Talk Bubble Tea Cafe,Tea Talk Bubble Tea Cafe,,Tea Talk Bubble Tea Cafe,2022-04-12,2022.0,711 228th AVE NE,SAMMAMISH,WA,98074,PR0090206,,True,False,True,king_county_inspections
BID|PR0092931,JinJin Matcha,JinJin Matcha,,JinJin Matcha,,,1325 4TH AVE Ste 103,SEATTLE,WA,98101,PR0092931,,False,False,True,king_county_inspections
BID|PR0091875,SOCIAL TEA CAPITOL HILL LLC  dba Social Tea,SOCIAL TEA CAPITOL HILL LLC  dba Social Tea,,SOCIAL TEA CAPITOL HILL LLC  dba Social Tea,2025-03-06,2025.0,1212 PINE ST,SEATTLE,WA,98101,PR0091875,,False,False,True,king_county_inspections
BID|PR0090397,TIGER SUGAR SEATTLE,TIGER SUGAR SEATTLE,,TIGER SUGAR SEATTLE,2023-01-23,2023.0,1422 2nd AVE,SEATTLE,WA,98101,PR0090397,,False,False,True,king_county_inspections
BID|PR0090514,XING FU TANG,XING FU TANG,,XING FU TANG,2025-01-07,2025.0,1905 4th AVE,SEATTLE,WA,98101,PR0090514,,False,False,True,king_county_inspections
BID|PR0091843,Bober Tea & Mochi Dough,Bober Tea & Mochi Dough,,Bober Tea & Mochi Dough,2024-09-26,2024.0,605 BROADWAY E,SEATTLE,WA,98102,PR0091843,,False,False,True,king_county_inspections
BID|PR0090644,Dont Yell At Me,Dont Yell At Me,,Dont Yell At Me,2022-12-12,2022.0,125 Broadway E,SEATTLE,WA,98102,PR0090644,,False,False,True,king_county_inspections
BID|PR0083088,HI TEA CAFE,HI TEA CAFE,,HI TEA CAFE,2019-05-16,2019.0,202 BROADWAY E,SEATTLE,WA,98102,PR0083088,,False,False,True,king_county_inspections
BID|PR0087763,JUST POKE & DIY TEA LAB,JUST POKE & DIY TEA LAB,,JUST POKE & DIY TEA LAB,2023-02-15,2023.0,734 N 34TH ST,SEATTLE,WA,98103,PR0087763,,False,False,True,king_county_inspections
BID|PR0090057,YOUNG TEA,YOUNG TEA,,YOUNG TEA,2022-04-21,2022.0,2110 N 45th ST,SEATTLE,WA,98103,PR0090057,,False,False,True,king_county_inspections
BID|PR0068631,OASIS TEA ZONE,OASIS TEA ZONE,,OASIS TEA ZONE,2010-05-21,2010.0,519 6TH AVE S ,SEATTLE,WA,98104,PR0068631,,True,False,True,king_county_inspections
BID|PR0003636,SHARETEA CHINATOWN,SHARETEA CHINATOWN,,SHARETEA CHINATOWN,2025-08-29,2025.0,651 S KING ST,SEATTLE,WA,98104,PR0003636,,False,True,True,king_county_inspections
BID|PR0091769,"THE ALLEY, IT'S TIME FOR TEA","THE ALLEY, IT'S TIME FOR TEA",,"THE ALLEY, IT'S TIME FOR TEA",2024-07-22,2024.0,913 S JACKSON ST STE B,SEATTLE,WA,98104,PR0091769,,False,True,True,king_county_inspections
BID|PR0089128,TP TEA,TP TEA,,TP TEA,2020-10-05,2020.0,679 S KING ST,SEATTLE,WA,98104,PR0089128,,False,True,True,king_county_inspections
BID|PR0050040,YIFANG TAIWAN FRUIT TEA,YIFANG TAIWAN FRUIT TEA,,YIFANG TAIWAN FRUIT TEA,2022-10-05,2022.0,619 S KING ST ,SEATTLE,WA,98104,PR0050040,,True,True,True,king_county_inspections
BID|PR0085442,BOBA UP,BOBA UP,,BOBA UP,2018-12-26,2018.0,4141 UNIVERSITY WAY NE #103,SEATTLE,WA,98105,PR0085442,,True,False,False,king_county_inspections
BID|PR0052459,BOBALUST,BOBALUST,,BOBALUST,2022-08-17,2022.0,4553 UNIVERSITY WAY NE ,SEATTLE,WA,98105,PR0052459,,False,False,True,king_county_inspections
MANUAL|CHAYAN_SEATTLE_98105,CHAYAN,CHAYAN,,,,,4106 BROOKLYN AVE NE SUITE 103A,SEATTLE,WA,98105,,,True,True,True,manual_additions
BID|PR0091778,COCO FRESH,COCO FRESH,,COCO FRESH,2024-12-13,2024.0,4700 BROOKLYN AVE NE,SEATTLE,WA,98105,PR0091778,,False,True,True,king_county_inspections
BID|PR0045529,DING TEA,DING TEA,,DING TEA,2018-08-13,2018.0,4725 UNIVERSITY WAY NE ,SEATTLE,WA,98105,PR0045529,,False,True,True,king_county_inspections
BID|PR0053727,DON'T YELL AT ME,DON'T YELL AT ME,,DON'T YELL AT ME,2020-11-10,2020.0,4511 UNIVERSITY WAY NE,SEATTLE,WA,98105,PR0053727,,False,False,True,king_county_inspections
BID|PR0089611,HAPPY LEMON  dba TRICERA LLC,HAPPY LEMON  dba TRICERA LLC,,HAPPY LEMON  dba TRICERA LLC,2021-10-28,2021.0,2630 NE VILLAGE LN,SEATTLE,WA,98105,PR0089611,,False,True,True,king_county_inspections
BID|PR0084565,MACU TEA,MACU TEA,,MACU TEA,2024-02-01,2024.0,1100 NE 45TH ST STE 100,SEATTLE,WA,98105,PR0084565,,False,True,True,king_county_inspections
BID|PR0071303,MAMA'S VIET KITCHEN & BOBA GEM,MAMA'S VIET KITCHEN & BOBA GEM,,MAMA'S VIET KITCHEN & BOBA GEM,2022-02-28,2022.0,4213 UNIVERSITY WAY NE ,SEATTLE,WA,98105,PR0071303,,True,False,False,king_county_inspections
BID|PR0086120,Oasis Tea Zone,Oasis Tea Zone,,Oasis Tea Zone,2025-08-06,2025.0,4524 UNIVERSITY WAY NE,SEATTLE,WA,98105,PR0086120,,True,False,True,king_county_inspections
BID|PR0090516,Sunright Tea Studio,Sunright Tea Studio,,Sunright Tea Studio,2023-01-31,2023.0,4545 Roosevelt WAY NE,SEATTLE,WA,98105,PR0090516,,False,True,True,king_county_inspections
BID|PR0087800,TIMELESS TEA,TIMELESS TEA,,TIMELESS TEA,2020-05-15,2020.0,1000 NE 50TH ST,SEATTLE,WA,98105,PR0087800,,False,False,True,king_county_inspections
BID|PR0089993,TP TEA,TP TEA,,TP TEA,2022-01-18,2022.0,1312 NE 45TH ST,SEATTLE,WA,98105,PR0089993,,False,True,True,king_county_inspections
BID|PR0091289,YAN TEA,YAN TEA,,YAN TEA,2024-05-02,2024.0,4744 UNIVERSITY WAY NE,SEATTLE,WA,98105,PR0091289,,False,False,True,king_county_inspections
BID|PR0088253,YI FANG TAIWAN FRUIT TEA,YI FANG TAIWAN FRUIT TEA,,YI FANG TAIWAN FRUIT TEA,2024-06-28,2024.0,5000 UNIVERSITY WAY NE,SEATTLE,WA,98105,PR0088253,,True,True,True,king_county_inspections
BID|PR0090866,Happy Lemon Bubble Tea,Happy Lemon Bubble Tea,,Happy Lemon Bubble Tea,2023-03-22,2023.0,9025 25TH AVE SW,SEATTLE,WA,98106,PR0090866,,True,True,True,king_county_inspections
BID|PR0093071,Vale Coffee and Matcha #2,Vale Coffee and Matcha #2,,Vale Coffee and Matcha #2,,,5600 DELRIDGE WAY SW,SEATTLE,WA,98106,PR0093071,,False,False,True,king_county_inspections
BID|PR0093070,Vale Matcha and Coffee,Vale Matcha and Coffee,,Vale Matcha and Coffee,,,5600 DELRIDGE WAY SW,SEATTLE,WA,98106,PR0093070,,False,False,True,king_county_inspections
BID|PR0087072,JUST POKE & DIY TEA LAB,JUST POKE & DIY TEA LAB,,JUST POKE & DIY TEA LAB,2022-03-02,2022.0,2215 NW MARKET ST,SEATTLE,WA,98107,PR0087072,,False,False,True,king_county_inspections
BID|PR0076771,MIRO TEA,MIRO TEA,,MIRO TEA,2007-08-10,2007.0,5405 BALLARD AVE NW ,SEATTLE,WA,98107,PR0076771,,False,False,True,king_county_inspections
BID|PR0090483,Matcha Man Icecream LLC,Matcha Man Icecream LLC,,Matcha Man Icecream LLC,2022-08-18,2022.0,6014 12th AVE S,SEATTLE,WA,98108,PR0090483,,False,False,True,king_county_inspections
BID|PR0079429,VOI CA PHE,VOI CA PHE,,VOI CA PHE,2022-06-13,2022.0,6105 13TH AVE S,SEATTLE,WA,98108,PR0079429,,False,False,True,king_county_inspections
MANUAL|CHACO_COFFEE_TEA_SEATTLE_98109,CHACO COFFEE & TEA,CHACO COFFEE & TEA,,,,,100 4TH AVE N STE 165,SEATTLE,WA,98109,,,True,True,True,manual_additions
BID|PR0085053,CHACO COFFEE AND TEA,CHACO COFFEE AND TEA,,CHACO COFFEE AND TEA,2025-05-13,2025.0,140 4TH AVE N STE 165,SEATTLE,WA,98109,PR0085053,,False,False,True,king_county_inspections
BID|PR0092394,HEYTEA SOUTH LAKE UNION,HEYTEA SOUTH LAKE UNION,,HEYTEA South Lake Union,2025-05-13,2025.0,910 John ST STE 100,SEATTLE,WA,98109,PR0092394,,False,True,True,king_county_inspections
