zip5,review_count,mean_sentiment,positive_share,negative_share,avg_rating,text_signal_score
98118,4,0.9615384615384616,1.0,0.0,4.75,98.07692307692308
98133,8,0.6964285714285714,0.875,0.125,4.25,84.82142857142857
98122,24,0.6252696377696377,0.875,0.08333333333333333,4.166666666666667,81.26348188848189
98003,12,0.47261904761904766,0.75,0.16666666666666666,4.0,73.63095238095238
98115,4,0.3418803418803419,0.75,0.25,3.5,67.0940170940171
