week_start,trend_index_raw,trend_index,trend_index_ma4,trend_index_z
2021-02-21,12.75,25.423728813559322,25.423728813559322,0.4316745387866952
2021-02-28,14.0,29.661016949152543,27.54237288135593,0.8135967578488223
2021-03-07,15.0,33.05084745762712,29.37853107344633,1.119134533098524
2021-03-14,13.5,27.966101694915253,29.02542372881356,0.6608278702239713
2021-03-21,14.25,30.508474576271187,30.296610169491526,0.8899812016612477
2021-03-28,15.0,33.05084745762712,31.144067796610173,1.119134533098524
2021-04-04,14.5,31.35593220338983,30.720338983050848,0.9663656454736731
2021-04-11,16.0,36.440677966101696,32.83898305084746,1.4246723083482256
2021-04-18,16.25,37.28813559322034,34.53389830508475,1.501056752160651
2021-04-25,16.5,38.13559322033898,35.80508474576271,1.5774411959730763
2021-05-02,16.5,38.13559322033898,37.5,1.5774411959730763
2021-05-09,15.75,35.59322033898305,37.28813559322034,1.3482878645358003
2021-05-16,16.5,38.13559322033898,37.5,1.5774411959730763
2021-05-23,17.75,42.3728813559322,38.559322033898304,1.9593634150352033
2021-05-30,18.5,44.91525423728814,40.25423728813559,2.1885167464724797
2021-06-06,14.5,31.35593220338983,39.19491525423729,0.9663656454736731
2021-06-13,14.75,32.20338983050848,37.71186440677966,1.0427500892860988
2021-06-20,17.25,40.67796610169491,37.28813559322034,1.8065945274103525
2021-06-27,19.25,47.45762711864407,37.92372881355932,2.417670077909756
2021-07-04,18.5,44.91525423728814,41.3135593220339,2.1885167464724797
2021-07-11,18.25,44.067796610169495,44.279661016949156,2.1121323026600547
2021-07-18,17.25,40.67796610169491,44.27966101694915,1.8065945274103525
2021-07-25,15.5,34.74576271186441,41.101694915254235,1.2719034207233748
2021-08-01,14.75,32.20338983050848,37.92372881355932,1.0427500892860988
2021-08-08,17.5,41.52542372881356,37.28813559322034,1.8829789712227778
2021-08-15,15.75,35.59322033898305,36.016949152542374,1.3482878645358003
2021-08-22,15.75,35.59322033898305,36.228813559322035,1.3482878645358003
2021-08-29,14.25,30.508474576271187,35.80508474576271,0.8899812016612477
2021-09-05,12.0,22.88135593220339,31.14406779661017,0.2025212073494191
2021-09-12,11.75,22.033898305084747,27.754237288135595,0.12613676353699374
2021-09-19,12.25,23.728813559322035,24.788135593220343,0.27890565116184446
2021-09-26,11.75,22.033898305084747,22.66949152542373,0.12613676353699374
2021-10-03,11.5,21.1864406779661,22.24576271186441,0.049752319724568055
2021-10-10,12.5,24.576271186440678,22.88135593220339,0.35529009497426983
2021-10-17,11.0,19.491525423728813,21.822033898305083,-0.10301656790028269
2021-10-24,11.0,19.491525423728813,21.1864406779661,-0.10301656790028269
2021-10-31,10.0,16.10169491525424,19.915254237288135,-0.4085543431499842
2021-11-07,10.0,16.10169491525424,17.796610169491526,-0.4085543431499842
2021-11-14,9.0,12.711864406779661,16.101694915254235,-0.7140921183996859
2021-11-21,9.75,15.254237288135593,15.042372881355933,-0.48493878696240966
2021-11-28,9.25,13.559322033898304,14.40677966101695,-0.6377076745872606
2021-12-05,8.75,11.864406779661017,13.347457627118644,-0.7904765622121113
2021-12-12,11.75,22.033898305084747,15.677966101694915,0.12613676353699374
2021-12-19,12.0,22.88135593220339,17.584745762711865,0.2025212073494191
2021-12-26,10.25,16.949152542372882,18.43220338983051,-0.3321698993375588
2022-01-02,9.25,13.559322033898304,18.85593220338983,-0.6377076745872606
2022-01-09,12.5,24.576271186440678,19.491525423728813,0.35529009497426983
2022-01-16,14.5,31.35593220338983,21.610169491525426,0.9663656454736731
2022-01-23,12.5,24.576271186440678,23.516949152542374,0.35529009497426983
2022-01-30,13.0,26.271186440677965,26.694915254237287,0.5080589825991206
2022-02-06,13.75,28.8135593220339,27.754237288135595,0.737212314036397
2022-02-13,12.5,24.576271186440678,26.059322033898308,0.35529009497426983
2022-02-20,15.75,35.59322033898305,28.8135593220339,1.3482878645358003
2022-02-27,13.75,28.8135593220339,29.449152542372882,0.737212314036397
2022-03-06,13.25,27.11864406779661,29.025423728813557,0.5844434264115459
2022-03-13,15.0,33.05084745762712,31.14406779661017,1.119134533098524
2022-03-20,14.5,31.35593220338983,30.084745762711865,0.9663656454736731
2022-03-27,16.0,36.440677966101696,31.991525423728817,1.4246723083482256
2022-04-03,16.5,38.13559322033898,34.74576271186441,1.5774411959730763
2022-04-10,16.25,37.28813559322034,35.80508474576271,1.501056752160651
2022-04-17,14.25,30.508474576271187,35.59322033898305,0.8899812016612477
