zip5,active_shop_count,population,median_income,median_gross_rent,median_home_value,young_adult_share,supply_per_10k,demand_score,supply_score,gap_score,regional_cost_score,regional_feasibility_score,city_trend_index,quadrant
98115,1,54248,148190,2118.0,1041500.0,0.0493474413803273,0.18433859312785725,81.06403182899562,0.0,81.06403182899562,55.340315888445154,44.659684111554846,11.493644067796609,HighDemand_LowSupply
98118,1,49560,109085,1831.0,746400.0,0.0472356739305891,0.2017756255044391,77.52754906449871,0.13781348054240375,77.38973558395631,38.18375213858459,61.81624786141541,11.493644067796609,HighDemand_LowSupply
98103,2,51988,127372,2006.0,1012900.0,0.0680349311379549,0.3847041624990382,81.32095326170098,5.112142983224802,76.20881027847618,50.97101385972548,49.02898614027452,11.493644067796609,HighDemand_LowSupply
98133,2,52620,92371,1794.0,719100.0,0.0452299505891296,0.38008361839604715,79.49627292803842,5.075624540689358,74.42064838734906,36.26063442746954,63.73936557253046,11.493644067796609,HighDemand_LowSupply
98058,1,41980,111045,2015.0,627200.0,0.0528823249166269,0.23820867079561697,72.71576636787887,0.42576183493552633,72.29000453294334,40.89638707140825,59.10361292859175,11.493644067796609,HighDemand_LowSupply
98030,1,38492,91218,1797.0,540100.0,0.0657539228930687,0.259794242959576,71.5230771216176,0.596363274743006,70.92671384687459,31.547253313292437,68.45274668670757,11.493644067796609,HighDemand_LowSupply
98198,1,39815,83938,1770.0,527100.0,0.0550295114906442,0.25116162250408136,71.39285173563913,0.5281354108794822,70.86471632475964,30.329885032600437,69.67011496739957,11.493644067796609,HighDemand_LowSupply
98006,1,40770,197344,2869.0,1233500.0,0.0429482462595045,0.2452783909737552,70.87438457890626,0.48163732585441793,70.39274725305184,84.644140316402,15.355859683597998,11.493644067796609,HighDemand_LowSupply
98003,3,52210,70800,1650.0,428500.0,0.051522696801379,0.5746025665581306,79.83072151336185,10.141558788342795,69.68916272501906,23.822443146159806,76.1775568538402,11.493644067796609,HighDemand_HighSupply
98125,2,43807,96725,1856.0,844500.0,0.0555847239025726,0.4565480402675372,74.27921652987825,5.679960639183122,68.59925589069513,41.62350547112106,58.37649452887894,11.493644067796609,HighDemand_LowSupply
98056,1,36872,108596,1992.0,726300.0,0.0456443914081145,0.2712085050987199,68.37349453426009,0.6865758269277128,67.68691870733238,42.819809316601884,57.180190683398116,11.493644067796609,HighDemand_LowSupply
98042,3,48594,125554,2121.0,613000.0,0.0497798082067745,0.6173601679219657,77.0970276876434,10.479493233627684,66.61753445401573,43.92272869180662,56.07727130819338,11.493644067796609,HighDemand_HighSupply
98059,2,41639,134336,2230.0,809800.0,0.0447897403876173,0.48031893177069573,71.66978568267548,5.867833737248008,65.80195194542748,52.7152097277271,47.2847902722729,11.493644067796609,HighDemand_LowSupply
