zip5,population,median_income,young_adult_share,median_gross_rent,median_home_value
00921,34197,21797,0.076702634734041,605.0,147800.0
00923,24826,18482,0.077539676145976,517.0,114600.0
00924,47800,22433,0.0633263598326359,537.0,136800.0
00925,4777,14940,0.1496755285744191,581.0,142900.0
00926,93308,39543,0.0732841771337934,717.0,189400.0
00927,13675,39838,0.0653747714808044,543.0,223000.0
00934,80,-666666666,0.0,1100.0,200000.0
00949,66714,33380,0.0637647270437989,724.0,141900.0
00950,0,-666666666,,1100.0,200000.0
00951,399,22222,0.0601503759398496,573.0,87100.0
00952,8488,21960,0.0898916116870876,521.0,117800.0
00953,66475,33888,0.0731553215494546,752.0,154600.0
00956,67050,28674,0.0672334079045488,645.0,134800.0
00957,40357,29663,0.0707188344029536,680.0,136600.0
00959,46409,31400,0.0692107134392036,666.0,149700.0
00960,3340,-666666666,0.0754491017964071,1100.0,200000.0
00961,28891,37015,0.0627877193589699,736.0,165200.0
00962,19213,20134,0.0730234736896892,537.0,118700.0
00965,5886,16516,0.064050288820931,538.0,102200.0
00966,17715,56421,0.0629410104431272,1095.0,286200.0
00968,3488,60353,0.0361238532110091,1027.0,206900.0
00969,41619,58205,0.0507220259977414,963.0,250900.0
00971,25499,32098,0.0683948390132946,651.0,161600.0
00976,61306,38087,0.0638599810785241,605.0,161200.0
00979,15597,35521,0.0677053279476822,990.0,189100.0
00982,13839,26550,0.0825204133246621,706.0,139400.0
00983,31583,33930,0.0592090681695849,601.0,156400.0
00985,31783,35012,0.0678035427744391,554.0,144900.0
00987,55039,40295,0.0684060393539126,778.0,151400.0
01001,16136,71924,0.0539167079821517,1305.0,270300.0
01002,24726,69411,0.2803931084688182,1561.0,449000.0
01003,12458,-666666666,0.4048803981377428,2667.0,200000.0
01005,4786,97390,0.0789803593815294,1603.0,328500.0
01007,15406,99056,0.0540049331429313,1301.0,350400.0
01008,1324,90625,0.0332326283987915,954.0,279500.0
01009,790,70763,0.0,1305.0,275800.0
01010,3694,101477,0.0422306442880346,786.0,379700.0
01011,1205,87012,0.0481327800829875,1134.0,280900.0
01012,387,75526,0.0077519379844961,895.0,350000.0
01013,22950,64039,0.071677559912854,1005.0,249300.0
01020,30230,70971,0.0569632815084353,1153.0,259100.0
01022,2045,56307,0.0337408312958435,1878.0,169700.0
01026,1005,98438,0.0686567164179104,1023.0,283600.0
01027,17678,73657,0.0625636384206358,1195.0,348300.0
01028,16283,100997,0.0560093348891481,1229.0,344100.0
01029,652,99188,0.0414110429447852,2479.7,469400.0
01030,12374,92485,0.0688540488120252,1124.0,315900.0
01031,1715,58125,0.0443148688046647,1164.0,237700.0
01032,503,79583,0.05168986083499,1281.0,319200.0
01033,6088,110188,0.0484559789750328,2754.7000000000003,319600.0
01034,2100,103603,0.0457142857142857,1804.0,331300.0
01035,5299,117580,0.0537837327797697,1682.0,453300.0
01036,4937,110703,0.0354466275065829,2767.5750000000003,345200.0
01037,486,84022,0.0473251028806584,2100.5499999999997,408600.0
01038,2534,112083,0.0615627466456195,1458.0,450200.0
01039,1660,115114,0.0102409638554216,1513.0,413800.0
01040,37949,51892,0.0591056417823921,1016.0,255300.0
01050,2573,96328,0.0536338904003109,1302.0,282400.0
01053,2033,88646,0.0713231677324151,1677.0,345600.0
01054,1704,113750,0.0269953051643192,1339.0,444700.0
01056,20846,78981,0.0787681089897342,1250.0,303900.0
01057,8200,90436,0.0402439024390243,880.0,312100.0
01060,15237,75077,0.0643827525103366,1460.0,427100.0
01062,9188,87800,0.0388550282977797,1016.0,389000.0
01063,2121,250001,0.4879773691654879,4200.0,1125004.5
01066,115,-666666666,0.0,1100.0,409100.0
01068,1623,96207,0.044362292051756,1208.0,379600.0
01069,9077,79725,0.0591605155888509,929.0,251300.0
01070,593,72083,0.0286677908937605,1063.0,271100.0
01071,1219,107292,0.0877768662838392,950.0,287000.0
01072,1447,103188,0.0539046302695231,1500.0,321400.0
01073,6212,125534,0.0756600128783,741.0,426900.0
01074,749,76859,0.1615487316421895,1032.0,345865.5
01075,17410,93646,0.0961516369902355,1264.0,324800.0
01077,9222,108833,0.0662546085447842,1343.0,375700.0
01079,282,-666666666,0.0035460992907801,1100.0,283300.0
01080,2308,87188,0.0810225303292894,1115.0,254800.0
01081,1704,87337,0.0275821596244131,1263.0,275400.0
01082,10418,71023,0.0737185640238049,1049.0,271200.0
01083,2746,92558,0.0404224326292789,2313.95,375200.0
01084,101,91667,0.0,2291.6749999999997,328600.0
01085,41466,83821,0.0807890802102927,1064.0,296300.0
01088,654,53472,0.0351681957186544,1161.0,383300.0
01089,28635,70401,0.065688842325825,1121.0,307900.0
01092,1123,70938,0.0605520926090828,875.0,326000.0
01093,149,-666666666,0.0335570469798657,1100.0,425600.0
01094,64,109000,0.0,2725.0,433300.0
01095,14615,124682,0.0383167978104687,972.0,383200.0
01096,2566,105729,0.034294621979735,1393.0,356800.0
01097,45,-666666666,0.2222222222222222,1100.0,200000.0
01098,1019,93000,0.0323846908734053,592.0,355000.0
01103,2336,21458,0.0603595890410958,1053.0,148000.0
01104,21745,47530,0.079926419866636,1004.0,210800.0
01105,11469,22994,0.1074200017438311,976.0,238400.0
01106,15961,143961,0.043105068604724,2056.0,423800.0
01107,12270,31969,0.0942950285248573,963.0,215500.0
01108,27409,51851,0.070122952314933,1224.0,219500.0
01109,31418,46821,0.1239416894773696,1112.0,203100.0
01118,15009,80906,0.0419748151109334,1220.0,243800.0
01119,14059,59172,0.089195533110463,1181.0,222900.0
01128,3252,92125,0.0372078720787207,2303.125,246200.0
01129,5993,92500,0.0450525613215418,1325.0,239200.0
01144,0,-666666666,,1100.0,200000.0
01151,9627,57113,0.048821024202763,1239.0,219800.0
01201,45072,68879,0.0488773517926872,1098.0,236500.0
01220,8106,56285,0.0504564520108561,930.0,199800.0
01222,611,84583,0.0,2114.575,312700.0
01223,2588,82773,0.0367078825347758,1488.0,352200.0
01224,201,-666666666,0.2189054726368159,1100.0,275900.0
01225,3234,72028,0.0287569573283859,1309.0,237000.0
01226,6304,81168,0.0290291878172588,830.0,289300.0
01229,213,-666666666,0.1784037558685446,1100.0,531300.0
01230,8813,82871,0.0719391807557018,1286.0,479200.0
01235,2456,76699,0.0366449511400651,1015.0,266200.0
01236,1593,91172,0.0464532328939108,2279.2999999999997,481300.0
01237,2269,84419,0.0484795063904803,1153.0,278100.0
01238,5893,74469,0.0271508569489224,1255.0,332100.0
01240,5024,99745,0.0581210191082802,1060.0,480800.0
01242,165,-666666666,0.0,1100.0,200000.0
01243,196,89063,0.0408163265306122,2226.575,288100.0
01244,243,59655,0.0246913580246913,1491.375,584200.0
01245,828,113750,0.0350241545893719,2843.75,602900.0
01247,14967,55544,0.0787733012627781,786.0,190600.0
01253,903,108068,0.0,2701.7,339200.0
01254,962,113304,0.0239085239085239,928.0,555300.0
01255,850,85417,0.0894117647058823,1225.0,331300.0
01256,733,55000,0.0272851296043656,731.0,267200.0
01257,2331,80227,0.0514800514800514,1161.0,432100.0
01258,191,127813,0.0261780104712041,3195.3250000000003,593800.0
01259,778,125795,0.0668380462724935,3114.0,456400.0
01260,20,-666666666,0.0,1100.0,200000.0
01262,1652,142679,0.0447941888619854,777.0,556000.0
01264,184,85313,0.0706521739130434,1071.0,666700.0
01266,919,98828,0.0729053318824809,1471.0,481600.0
01267,7985,98750,0.1824671258609893,1280.0,438100.0
01270,1002,104961,0.0788423153692614,2624.025,350400.0
01301,17876,54347,0.0510181248601476,1098.0,253800.0
01330,1711,81691,0.015780245470485,957.0,368400.0
01331,13865,68345,0.0465921384781824,1041.0,257300.0
01337,2515,79274,0.0333996023856858,997.0,312300.0
01338,79,-666666666,0.1012658227848101,1100.0,254400.0
01339,1361,72841,0.0374724467303453,1089.0,307600.0
01340,1807,82578,0.0603209739900387,1081.0,268100.0
01341,1605,93250,0.022429906542056,1696.0,376500.0
01342,1313,100917,0.0624523990860624,1631.0,363100.0
01343,190,84271,0.0105263157894736,1250.0,265000.0
01344,1639,74550,0.0671140939597315,992.0,241500.0
01346,453,111150,0.0816777041942604,2778.75,285200.0
01347,114,72500,0.087719298245614,1812.5,166300.0
01349,753,69712,0.0305444887118193,1353.0,273500.0
01350,115,64375,0.0869565217391304,1609.375,147900.0
01351,2644,99375,0.0291225416036308,1552.0,308400.0
